id,name,category,description,averageTime,rating
E001,Exhibit 1 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,10,3.5
E002,Exhibit 2 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,15,3.6
E003,Exhibit 3 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,10,4.4
E004,Exhibit 4 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,5,4.9
E005,Exhibit 5 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,10,4.4
E006,Exhibit 6 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,5,4.5
E007,Exhibit 7 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,10,3.8
E008,Exhibit 8 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,10,4.5
E009,Exhibit 9 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,5,4.6
E010,Exhibit 10 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,15,4.4
E011,Exhibit 11 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,5,4.1
E012,Exhibit 12 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,5,4.6
E013,Exhibit 13 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,10,4.1
E014,Exhibit 14 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,10,4.1
E015,Exhibit 15 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,10,4.2
E016,Exhibit 16 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,5,3.6
E017,Exhibit 17 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,15,4.9
E018,Exhibit 18 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,5,3.8
E019,Exhibit 19 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,10,4.8
E020,Exhibit 20 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,5,4.4
E021,Exhibit 21 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,15,4.9
E022,Exhibit 22 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,10,4.4
E023,Exhibit 23 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,15,4.6
E024,Exhibit 24 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,5,4.1
E025,Exhibit 25 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,10,4.1
E026,Exhibit 26 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,5,4.8
E027,Exhibit 27 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,5,3.8
E028,Exhibit 28 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,5,4.7
E029,Exhibit 29 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,15,3.8
E030,Exhibit 30 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,15,3.8
E031,Exhibit 31 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,15,3.7
E032,Exhibit 32 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,15,3.6
E033,Exhibit 33 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,15,3.6
E034,Exhibit 34 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,10,4.8
E035,Exhibit 35 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,15,3.6
E036,Exhibit 36 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,15,4.2
E037,Exhibit 37 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,15,3.6
E038,Exhibit 38 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,10,4.5
E039,Exhibit 39 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,5,4.1
E040,Exhibit 40 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,10,4.2
E041,Exhibit 41 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,15,4.9
E042,Exhibit 42 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,10,4.0
E043,Exhibit 43 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,15,4.2
E044,Exhibit 44 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,10,4.4
E045,Exhibit 45 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,10,4.2
E046,Exhibit 46 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,15,4.3
E047,Exhibit 47 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,5,3.8
E048,Exhibit 48 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,5,4.6
E049,Exhibit 49 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,15,4.7
E050,Exhibit 50 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,15,4.0
E051,Exhibit 51 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,15,4.1
E052,Exhibit 52 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,5,4.5
E053,Exhibit 53 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,5,3.7
E054,Exhibit 54 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,5,4.3
E055,Exhibit 55 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,5,4.4
E056,Exhibit 56 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,10,3.7
E057,Exhibit 57 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,10,3.5
E058,Exhibit 58 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,10,4.4
E059,Exhibit 59 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,15,4.0
E060,Exhibit 60 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,10,4.9
E061,Exhibit 61 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,10,4.1
E062,Exhibit 62 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,5,4.9
E063,Exhibit 63 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,10,4.8
E064,Exhibit 64 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,10,4.0
E065,Exhibit 65 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,15,4.0
E066,Exhibit 66 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,15,4.8
E067,Exhibit 67 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,15,3.7
E068,Exhibit 68 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,5,4.3
E069,Exhibit 69 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,5,3.9
E070,Exhibit 70 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,15,4.6
E071,Exhibit 71 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,10,3.8
E072,Exhibit 72 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,5,4.5
E073,Exhibit 73 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,10,3.8
E074,Exhibit 74 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,5,4.8
E075,Exhibit 75 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,15,4.7
E076,Exhibit 76 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,10,3.5
