id,name,category,floor,ageRange,type,environment,features,imagesCount,createdAt,updatedAt,description
cmf97q5bu0004snwdrse4ovgo,AI Lab,ai-and-robotics,,researchers,hands-on,indoor,[],1,2025-09-07T04:48:38.010Z,2025-09-07T04:48:38.010Z,"The AI Lab is a modern learning space where visitors can explore the world of Artificial Intelligence (AI) and Machine Learning through interactive exhibits and hands-on activities.

Equipped with computers, sensors, robots, and AI-based applications, the lab helps understand how machines can see, hear, learn, and make decisions.

Visitors can try activities like image recognition, speech interaction, robotics, data analysis, and coding with AI tools.

The lab inspires students to explore cutting-edge technologies that are shaping the future in areas like healthcare, communication, transport, and education.

The AI Lab encourages creativity, experimentation, and innovation, preparing young minds for the technology-driven world of tomorrow."
cmf97ohja0003snwdwzd9jhb7,Taramandal,stars-and-planets,,researchers,passive,indoor,[],1,2025-09-07T04:47:20.518Z,2025-09-07T04:47:20.518Z,"The Taramandal is a mini planetarium designed to bring the wonders of the night sky indoors.

Inside the dome, visitors can watch projections of stars, planets, and constellations, just like they appear in the real sky.

The system can simulate the motion of celestial bodies, helping understand day and night, seasons, eclipses, and planetary motion.

It provides an immersive experience to learn about astronomy, space science, and the universe in an engaging way.

The Taramandal offers a journey through the cosmos, making stargazing possible at any time of the day."
cmf97mx7k0002snwdtvkbxdlz,Innovation Hub,technology,,researchers,hands-on,indoor,[],5,2025-09-07T04:46:07.520Z,2025-09-07T04:46:07.520Z,"The Innovation Hub is a creative space designed to encourage curiosity, problem-solving, and hands-on learning among students and young innovators.

Equipped with modern tools, models, and interactive setups, it provides an environment to experiment, design, and build new ideas.

Activities focus on STEM (Science, Technology, Engineering & Mathematics) learning through projects, tinkering, and workshops.

The hub nurtures creativity, teamwork, and innovation, inspiring the next generation of scientists, engineers, and entrepreneurs.

The Innovation Hub acts as a bridge between classroom learning and real-world application, giving young minds the opportunity to think, explore, and innovate."
cmf97ktoa0001snwdn288wiab,Exhibit Development Lab & Stores,physics,,researchers,hands-on,indoor,[],1,2025-09-07T04:44:29.625Z,2025-09-07T04:44:29.625Z,"The Exhibit Development Lab & Stores is the creative and technical hub where science exhibits are designed, developed, tested, and maintained.

Exhibit Development Lab:

A space for designing, prototyping, and assembling interactive science models.

Engineers, designers, and educators collaborate here to convert scientific principles into hands-on exhibits.

Exhibits are tested for accuracy, durability, and visitor engagement before being displayed.

Stores Section:

Functions as the inventory and resource unit, maintaining tools, raw materials, spare parts, and components required for exhibit creation and repair.

Ensures the smooth functioning and upkeep of all exhibits in the science center.

Together, the lab and stores form the backbone of exhibit innovation and maintenance, ensuring visitors always experience engaging, working, and updated science displays."
cmf97hl4j0000snwdybw8ye3q,Wave Motion,physics,,students,passive,indoor,[],1,2025-09-07T04:41:58.578Z,2025-09-07T04:41:58.578Z,"The “Wave Motion” exhibit creates the illusion of a traveling wave using rotating rings.

A set of red-colored rings are mounted on a shaft with eccentricity and angular phase shift.

When the shaft rotates, the rings form a spiral staircase-like pattern.

Depending on the direction of rotation, the spiral appears to be climbing upward or downward.

This rotary motion creates the illusion of wave propagation, helping visualize how waves move through a medium.

This exhibit demonstrates the difference between rotational motion and apparent wave motion, showing how waves transfer energy without transferring matter."
cmezm2w8t000p5vbijfcjljm7,Rising Arc,physics,,researchers,interactive,indoor,[],2,2025-08-31T11:32:45.629Z,2025-08-31T11:32:45.629Z,"The “Rising Arc” exhibit demonstrates how high-voltage electric arcs behave in air.

When a high voltage (e.g., 25,000 volts) is applied across a gap, the air insulation breaks down, forming an electric arc.

The arc initially strikes across the narrowest part of the gap, then rises upward due to heating of air and electromagnetic effects, extending its path.

The arc continues to rise until the applied voltage is no longer sufficient to sustain it.

This phenomenon is used in horn gap arresters for temporary earthing to protect electrical equipment from transient high voltage.

It visually demonstrates the principles of electric discharge, air ionization, and high-voltage protection."
cmezlzkhc000o5vbi4t3as7w9,Sand Art,physics,,researchers,passive,indoor,[],1,2025-08-31T11:30:10.416Z,2025-08-31T11:30:10.416Z,"This exhibit demonstrates patterns formed by motion and vibration using a small metallic ball on sand:

A metallic ball is placed on a flat tray filled with fine sand.

When the tray vibrates or the ball moves, the ball rolls over the sand, creating intricate and symmetrical patterns.

The patterns show how motion, collisions, and vibrations interact to produce natural geometric designs.

This exhibit visually illustrates concepts of wave motion, vibration, and pattern formation in a simple and artistic way."
cmezlxgsp000n5vbi2zddcbet,Ball Bounce,physics,,researchers,interactive,indoor,[],1,2025-08-31T11:28:32.329Z,2025-08-31T11:28:32.329Z,"This exhibit demonstrates the principles of momentum, energy transfer, and inelastic collisions using balls of different sizes:

Single Ball:

Lift and release one ball. It bounces back to a lower height than it was dropped due to energy loss from friction and inelastic impact.

Multiple Balls:

Lift two or more balls of different sizes and release them together.

The smaller ball bounces higher while the larger ball bounces less.

This happens because the momentum (mass × velocity) from the larger balls is transferred to the smaller ball, increasing its velocity.

Extreme Analogy:

Theoretically, stacking multiple heavy balls beneath a tiny ping pong ball and dropping them could accelerate the small ball to speeds high enough to escape Earth’s gravity, illustrating the power of momentum transfer.

This experiment visually explains conservation of momentum, energy transfer, and collision dynamics in an engaging way."
cmezlrfsq000m5vbij30euvml,Globe,physics,,families,interactive,indoor,[],1,2025-08-31T11:23:51.097Z,2025-08-31T11:23:51.097Z,"The “Globe” exhibit is a three-dimensional model of the Earth that helps visualize its geography, rotation, and axis tilt.

You can observe continents, oceans, and major countries on the spherical surface.

Rotating the globe demonstrates the Earth’s rotation, helping understand day and night cycles.

It also illustrates the tilt of the Earth’s axis, which is responsible for seasons.

This hands-on model helps visitors understand Earth’s shape, movement, and spatial relationships in a simple, visual way."
cmezlnj9n000l5vbi214mpxt6,Floating Ball,physics,,families,interactive,indoor,[],1,2025-08-31T11:20:48.968Z,2025-08-31T11:20:48.968Z,"The “Floating Ball” exhibit demonstrates Bernoulli’s Principle using a light ball and an air jet.

Press the switch to release a high-speed air stream from a flexible nozzle.

The ball floats in the air as the surrounding higher-pressure air pushes it into the low-pressure stream.

You can bend the nozzle to make the ball move around, showing how air pressure keeps it suspended.

This experiment visually illustrates how airflow and pressure differences can levitate objects."
cmezlituq000k5vbi0wduo3pt,Concave and Convex Mirrors,physics,,families,passive,indoor,[],1,2025-08-31T11:17:09.410Z,2025-08-31T11:17:09.410Z,"This exhibit demonstrates the image-forming properties of concave and convex mirrors:

Concave Mirror (अवतल दर्पण):

A mirror curved inward like a bowl.

Can magnify objects when close and form real inverted images when objects are farther away.

Demonstrates focusing of light to a point (focal point).

Convex Mirror (उत्तल दर्पण):

A mirror curved outward.

Always forms smaller, upright images.

Shows diverging of light rays and wider field of view.

Visitors can observe how different curvatures change the size, orientation, and type of image, helping understand reflection, focal points, and image formation."
cmezlf1c6000j5vbi92ms2e5w,Fresnel Mirror,physics,,researchers,interactive,indoor,[],1,2025-08-31T11:14:12.486Z,2025-08-31T11:14:12.486Z,"The “Fresnel Mirror” exhibit demonstrates reflection and multiple images using two plane mirrors placed at a small angle.

When you look into the mirrors, light from your body reflects between the two mirrors multiple times, creating several images of yourself.

The number and arrangement of images depend on the angle between the mirrors.

This exhibit illustrates how light can undergo multiple reflections, forming multiple visible images.

It’s a hands-on way to understand angles of reflection and the principle behind Fresnel mirrors used in optics."
cmezlb10v000i5vbi3ep8rko7,Mirror Wall,physics,,families,passive,indoor,[],1,2025-08-31T11:11:05.455Z,2025-08-31T11:11:05.455Z,"The “Mirror Wall” exhibit shows how reflections can create a broken image. Plane mirrors are placed on the wall at different angles.

Light from your body reflects off the mirrors.

Depending on the angles, the reflected light reaches your eyes from different directions.

You only see the parts of your body for which the reflected light reaches your eyes, creating a fragmented or broken image.

This exhibit demonstrates how angle of incidence and reflection affects what we see in mirrors."
cmezl6jc6000h5vbi68716cmv,All Roads Lead to Rome,physics,,families,passive,indoor,[],1,2025-08-31T11:07:35.910Z,2025-08-31T11:07:35.910Z,"The exhibit demonstrates a unique property of ellipses using two strikers and a curved boundary. The curved boundary is shaped like an ellipse, with the two circular marks representing its foci.

Place the strikers on the two foci.

When one striker is shot toward the elliptical boundary, it always reflects and hits the striker on the other focus, regardless of the direction it is shot.

This experiment visually illustrates the reflective property of ellipses, which is also applicable to light rays, sound waves, and other reflections. The setup shows that every path from one focus leads to the other after reflection, hence the name “All Roads Lead to Rome.”"
cmezl2vdh000g5vbi0nvqvgcq,Infinite Well,physics,,families,passive,indoor,[],1,2025-08-31T11:04:44.885Z,2025-08-31T11:04:44.885Z,"The “Infinite Well” exhibit demonstrates the concept of an endless reflection using mirrors. A well is placed between two parallel mirrors, creating the illusion that it goes on infinitely. Visitors can see their reflections multiply repeatedly, giving a visual experience of an infinite tunnel. This simple setup illustrates how light reflects between mirrors to create the perception of endless depth."
cmezkypxw000f5vbihx3kqsvn,Planetary Motion,physics,,families,interactive,indoor,[],1,2025-08-31T11:01:31.218Z,2025-08-31T11:01:31.218Z,"The “Planetary Motion” exhibit demonstrates the motion of planets around the Sun using a ball and a dome. A ball rolled on the dome follows an elliptical path, with the central well representing the Sun as one focus. The ball accelerates when closer to the well and slows down when farther away, illustrating how planets move faster near the Sun and slower at greater distances. This experiment provides a visual analogy for Kepler’s laws of planetary motion, showing the elliptical nature of orbits and the variation in orbital speed due to centripetal force."
cmezks3jk000e5vbivjsz3g2m,Tornado,physics,,families,interactive,indoor,[],1,2025-08-31T10:56:22.255Z,2025-08-31T10:56:22.255Z,"This exhibit creates a miniature tornado inside a transparent chamber.

You can see the swirling air spiral up, sometimes with fog or smoke to make the vortex visible.

It demonstrates the powerful rotation of air and how tornadoes form in nature.

Mechanism:

Airflow: Fans or air blowers at the base or sides create a circular motion of air inside the chamber.

Vortex Formation: The rotating air stretches upward due to pressure differences, forming a vortex.

Visualization: Smoke, fog, or mist is added so the air’s spiral motion becomes visible, making it look like a real tornado"
cmezkloi9000d5vbi42ubw786,Magical Tap,physics,,families,passive,indoor,[],1,2025-08-31T10:51:22.832Z,2025-08-31T10:51:22.832Z,"The tap appears to float in mid-air (or on a stand) with water continuously flowing from it.

Despite the seemingly impossible flow, it is safe to touch and observe.

Mechanism:

The tap is usually hollow, and inside it, a transparent pipe or tube is connected to a pump or water reservoir hidden in the base.

Water is pumped upward through the pipe and flows out of the tap, then collected in a hidden reservoir or recirculated.

From the outside, the support for the tap is invisible, so it looks like it’s floating."
cmezkgb4h000c5vbigj25s1t0,Kaleidoscope,physics,,researchers,interactive,indoor,[],1,2025-08-31T10:47:12.209Z,2025-08-31T10:47:12.209Z,"Mechanism:

A kaleidoscope is a simple optical device made with three rectangular mirrors placed at angles to each other inside a tube.

Small colored glass pieces, beads, or objects are placed at one end.

When you look through the other end, multiple reflections create beautiful symmetrical patterns.

Demonstration:

Rotate the tube gently.

Observe how the arrangement of objects inside keeps changing, creating new patterns each time.

Observation:

The number of mirrors and their angle determines the type of symmetry (triangular, hexagonal, etc.).

A small change in the objects produces a completely new, complex, and symmetrical design.

Principle:

Based on the principle of multiple reflections of light.

The mirrors reflect the objects again and again, forming repeating patterns.

Fun Fact:

Kaleidoscopes are often used in art, design, and pattern-making for inspiration."
cmezkcn5z000b5vbigbfkba5t,Float the Balls,physics,,families,interactive,indoor,[],1,2025-08-31T10:44:21.175Z,2025-08-31T10:44:21.175Z,"Mechanism:
An air blower is connected to a bicycle. When a visitor pedals the bicycle, the blower generates a stream of air that passes through a transparent vertical pipe.

Demonstration:
As the blower pushes air upward, a lightweight ball inside the pipe rises. The faster the visitor pedals, the stronger the airflow, and the higher the ball floats. When pedaling slows or stops, the airflow decreases, and the ball falls back down.

Observation:

Pedaling speed controls the airflow strength.

Higher pedaling speed → higher air pressure → ball rises higher.

If pedaling stops, air pressure reduces → ball comes down.

Principle:
This exhibit demonstrates the effect of air pressure and flow on objects. The rising of the ball is due to the upward force of air pressure, overcoming the downward force of gravity. It shows the practical application of fluid dynamics and Bernoulli’s principle in a fun, interactive way."
cmezk7tvz000a5vbil4lr7kbq,Message from Depth,physics,,families,interactive,indoor,[],1,2025-08-31T10:40:36.605Z,2025-08-31T10:40:36.605Z,"👉 Instruction for Visitors:
Push the handle back and forth and observe the bubbles rising in the tubes.

✨ What Happens:

As the bubbles rise upward, the pressure exerted on them by the surrounding liquid decreases. This is because liquid pressure depends on the height of the liquid column above the bubble.

With less pressure from above, the bubbles expand and increase in size as they rise.

Different liquids (having different densities and viscosities) make the bubbles behave differently.

🔎 Key Observations:

Bigger bubbles rise faster than smaller ones.

This happens because the buoyant force (which pushes the bubble upward) increases faster for larger bubbles than the viscous drag (which resists the motion).

📖 Scientific Principle:
The exhibit demonstrates the relationship between pressure in liquids, buoyancy, and viscous drag. It shows how gases expand when pressure decreases and how the balance of forces affects motion in fluids."
cmezk1stg00095vbirv98f05t,Energy Ball,physics,,researchers,interactive,indoor,[],1,2025-08-31T10:35:55.284Z,2025-08-31T10:35:55.284Z,"Watch the ball as it travels through loops, slopes, spirals, and jumps! The rolling ball demonstrates how energy changes its form but is never lost. At every stage, the ball’s motion shows the fascinating conversion between potential energy (energy stored due to height) and kinetic energy (energy of motion).

Scientific Principle:

When the ball is lifted to the top, it gains potential energy.

As it rolls down, this potential energy is converted into kinetic energy, making it move faster.

On climbing slopes, loops, or spirals, kinetic energy is again converted back into potential energy.

Friction and sound also show how some energy is transformed into heat and vibrations.

What to Observe:

The ball speeds up as it goes down (more kinetic energy).

It slows down as it climbs up (converting kinetic back to potential).

Loops and spirals highlight the continuous energy transformation cycle.

Learning Outcome:
This exhibit beautifully demonstrates the law of conservation of energy — energy can change its form but cannot be created or destroyed."
