id,name,description,category,location,floor,ageRange,exhibitType,environment,difficulty,durationMinutes,averageTimeMinutes,visitorCount,rating,feedbackCount,language,accessibility,maintenanceNotes,safetyNotes,educationalValue,curriculumLinks,materials,dimensions,weightKg,powerRequirements,temperatureRange,humidityRange,lastMaintenance,nextMaintenance,cost,sponsor,designer,manufacturer,warrantyExpiry,insuranceInfo,riskAssessment,emergencyContact,images,imagesCount,interactiveFeatures,coordinatesRaw,coordinateX,coordinateY,coordinateNotes,nearbyFacilities,routeInstructions,createdAt,updatedAt,isActive,exhibitCode,scientificName,virtualTour,videos,audioGuides
cmei944jk0000x3ls4qzke5tu,Debug Exhibit,Inserted via test_exhibits.js,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,{},,,,,{},2025-08-19T07:57:43.038Z,2025-08-19T08:54:15.557Z,false,,,,,
cmei951b70000kv2ayjc1vlku,Debug Exhibit,Inserted via test_exhibits.js,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,{},,,,,{},2025-08-19T07:58:25.507Z,2025-08-19T08:54:18.183Z,false,,,,,
cmeqmh1260000i9ggjonczjg3,,,,,outside,families,passive,indoor,,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,"{""floor"":""outside"",""x"":39.0625,""y"":55.400000000000006}",39.0625,55.400000000000006,,,{},2025-08-25T04:33:49.465Z,2025-08-25T04:33:49.465Z,true,,,,,
cmewnmmbf000vhnnp6lwbao1k,3G vs 4G – The Mobile Internet Revolution,"The shift from 3G to 4G marked a major leap in mobile internet speed and connectivity.

3G (Third Generation): Brought mobile internet browsing, video calling, and multimedia messaging.

4G (Fourth Generation): Enabled high-speed streaming, online gaming, HD video calls, and mobile apps to work smoothly.

This evolution made smartphones powerful tools for communication, learning, and entertainment, shaping the digital lifestyle we enjoy today.

✨ Key Differences

Feature	3G 📱	4G 🚀
Speed	~2 Mbps	Up to 100 Mbps
Internet	Basic browsing, email	HD streaming, video calls, gaming
Latency	High (slower response)	Low (fast response)
Impact	First mobile internet	True mobile broadband experience

🎯 Learning Outcome

Understand how mobile networks evolved.

See how internet speed impacts daily life applications.

Recognize how 4G paved the way for 5G and beyond.

⚡ Short Museum Panel (70 words)

3G and 4G are mobile network generations that changed how we use phones. 3G introduced internet browsing, video calls, and online messaging. 4G brought much faster speeds, enabling HD video streaming, mobile apps, online gaming, and smooth video calls. This leap transformed smartphones into powerful mini-computers. The jump from 3G to 4G shaped today’s connected world and set the stage for 5G innovations.",ai-and-robotics,"Dehradun, Uttarakhand, India",first,families,passive,indoor,,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,exhibit-1756461166356-98748687.jpg,1,,"{""floor"":""first"",""x"":4.083333333333333,""y"":28.333333333333332}",4.083333333333333,28.333333333333332,,,{},2025-08-29T09:52:46.971Z,2025-08-29T09:52:46.971Z,true,,,,,
cmf97q5bu0004snwdrse4ovgo,AI Lab,"The AI Lab is a modern learning space where visitors can explore the world of Artificial Intelligence (AI) and Machine Learning through interactive exhibits and hands-on activities.

Equipped with computers, sensors, robots, and AI-based applications, the lab helps understand how machines can see, hear, learn, and make decisions.

Visitors can try activities like image recognition, speech interaction, robotics, data analysis, and coding with AI tools.

The lab inspires students to explore cutting-edge technologies that are shaping the future in areas like healthcare, communication, transport, and education.

The AI Lab encourages creativity, experimentation, and innovation, preparing young minds for the technology-driven world of tomorrow.",ai-and-robotics,"Dehradun, Uttarakhand, India",ground,researchers,hands-on,indoor,,8,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,exhibit-1757220517195-916548588.jpg,1,,"{""floor"":""ground"",""x"":2.083333333333333,""y"":50.83333333333333}",2.083333333333333,50.83333333333333,,,{},2025-09-07T04:48:38.010Z,2025-09-07T04:48:38.010Z,true,,,,,
cmewnj4fp000thnnpu6okg4qv,Artificial Intelligence – Machines that Think,"Artificial Intelligence (AI) is the ability of machines to learn, reason, and make decisions like humans. Instead of following fixed instructions, AI uses algorithms and data to recognize patterns, solve problems, and improve over time.

✨ Applications

Daily Life: Voice assistants (Siri, Alexa), recommendation systems (YouTube, Netflix)

Healthcare: Disease prediction, robotic surgery

Transport: Self-driving cars, traffic management

Education & Work: Smart tutoring, AI-driven research

Creativity: Music, art, and story generation

🎯 Learning Outcome

Understand how AI is inspired by the human brain.

Explore its role in automation, decision-making, and creativity.

Imagine a future where humans and AI work together.

⚡ Short Student-Friendly Museum Panel (70 words)

Artificial Intelligence (AI) allows computers to think, learn, and adapt like humans. It powers everyday tools such as Google search, chatbots, and self-driving cars. By analyzing massive amounts of data, AI can recognize faces, predict diseases, and even create art. AI is transforming industries and daily life, making technology more intelligent and interactive than ever before.",ai-and-robotics,"Dehradun, Uttarakhand, India",first,students,passive,indoor,,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,exhibit-1756461002965-234817720.jpg,1,,"{""floor"":""first"",""x"":2.4166666666666665,""y"":19.166666666666668}",2.4166666666666665,19.166666666666668,,,{},2025-08-29T09:50:03.829Z,2025-08-29T09:50:03.829Z,true,,,,,
cmewnpb1m000xhnnp1ri5226w,Factory Automation – Smart Machines in Manufacturing,"Factory Automation is the use of machines, robots, sensors, and computer systems to perform industrial tasks with little or no human intervention. Instead of relying on manual labor, factories now use automated assembly lines where machines work with precision, speed, and accuracy.

Automation involves:

Robotic arms – for welding, painting, packaging.

Conveyor belts & sensors – for moving and inspecting products.

Programmable Logic Controllers (PLCs) – to control machines.

AI & IoT – for smart monitoring and predictive maintenance.

✨ Benefits of Factory Automation

High productivity and speed.

Improved quality with fewer errors.

Reduced labor cost.

Safer working conditions.

⚡ Short Museum Panel (70 words)

Factory Automation uses machines, robots, and computer systems to carry out manufacturing tasks with minimal human involvement. Automated production lines improve efficiency, accuracy, and safety while reducing costs. Robots weld cars, sensors check product quality, and AI systems predict maintenance needs. From automotive plants to electronics assembly, automation is revolutionizing industries and shaping the future of smart manufacturing.",ai-and-robotics,"Dehradun, Uttarakhand, India",first,researchers,passive,indoor,,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,exhibit-1756461291771-301734142.jpg,1,,"{""floor"":""first"",""x"":5.75,""y"":28.666666666666668}",5.75,28.666666666666668,,,{},2025-08-29T09:54:52.329Z,2025-08-29T09:54:52.329Z,true,,,,,
cmewgyfnf0000qsr996urezmu,Film Corner,"The Film Corner is a dedicated space where short scientific films, documentaries, and educational videos are screened. It offers visitors an engaging way to explore complex scientific concepts, biographies of great scientists, environmental issues, and new technologies through visual storytelling.

The corner is designed like a mini theatre with comfortable seating and quality audio-visual systems to make the experience immersive. Programs are scheduled at intervals, ensuring that groups of visitors can watch together.

✨ Learning Outcome

Understand science and technology through visual and narrative media.

Encourage curiosity and discussion about scientific developments.

Learn about the lives and contributions of scientists in an engaging format.

Experience how films can simplify complex scientific ideas for the general public.",ai-and-robotics,"Dehradun, Uttarakhand, India",first,families,passive,indoor,,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,exhibit-1756449959272-486212212.jpg,1,Audio Guide; Live Demonstrations; Video Content; Guided Tours,"{""floor"":""first"",""x"":9.916666666666666,""y"":43.666666666666664}",9.916666666666666,43.666666666666664,,,{},2025-08-29T06:46:00.878Z,2025-08-29T06:46:00.878Z,true,,,,,
cmewnsc7b000zhnnpw3gce2wi,Home Automation,"Home Automation uses IoT devices, sensors, and controllers to automate everyday household functions such as lighting, appliances, security, and energy management. A central system (microcontroller like Arduino/Raspberry Pi, or a smart hub) connects to devices via Wi-Fi, Bluetooth, or Zigbee.

Visitors can see how lights turn on with a clap or motion sensor, appliances can be controlled by voice assistants, and doors lock automatically with RFID or biometrics.

✨ Why It’s Exciting

Makes homes smarter, safer, and energy-efficient.

Demonstrates IoT in real-world applications.

Interactive demo encourages visitors to try controlling lights/fans using voice or mobile app.

⚡ Short Museum Panel (70 words)

Home Automation showcases how IoT makes homes smarter and more efficient. Using sensors, controllers, and wireless communication, household devices like lights, fans, and locks can be controlled automatically or via smartphone/voice commands. Visitors can interact with a demo model to see real-time automation in action—such as motion-activated lights or app-based appliance control. This technology represents the future of convenient, secure, and energy-saving living spaces.",ai-and-robotics,"Dehradun, Uttarakhand, India",first,families,passive,indoor,,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,exhibit-1756461433105-648056955.jpg,1,,"{""floor"":""first"",""x"":6.75,""y"":21}",6.75,21,,,{},2025-08-29T09:57:13.799Z,2025-08-29T09:57:13.799Z,true,,,,,
cmewnnyzn000whnnpfg1ukel0,Robotics – Machines that Think and Act,"Robotics is the science of designing and building machines that can sense, think, and act. Robots are used in factories, hospitals, space exploration, defense, agriculture, and even households.

A robot usually has:

Sensors – to detect the environment (like cameras, proximity sensors).

Processor/AI – to make decisions.

Actuators – motors/arms that perform tasks.

Robotics combines mechanical engineering, electronics, computer science, and AI to create intelligent machines.

✨ Applications of Robotics

Industry: Car assembly, precision manufacturing.

Healthcare: Surgical robots, robotic prosthetics.

Exploration: Mars rovers, underwater robots.

Everyday life: Cleaning robots, drones, smart assistants.

⚡ Short Museum Panel (70 words)

Robotics is the branch of science and engineering that creates machines capable of performing human-like tasks. Robots use sensors, processors, and actuators to sense their environment, make decisions, and take action. They are used in factories, hospitals, defense, agriculture, and space missions. From industrial arms to Mars rovers, robotics is transforming industries and daily life, bringing us closer to a future where humans and intelligent machines work together.",ai-and-robotics,"Dehradun, Uttarakhand, India",first,students,passive,indoor,,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,exhibit-1756461229381-140930786.jpg,1,,"{""floor"":""first"",""x"":5.916666666666667,""y"":28.833333333333332}",5.916666666666667,28.833333333333332,,,{},2025-08-29T09:53:50.051Z,2025-08-29T09:53:50.051Z,true,,,,,
